name,version,api-level,revision,description,obsolete,windowsSize,windowsSHA1,windowsURL,macosxSize,macosxSHA1,macosxURL,linuxSize,linuxSHA1,linuxURL
Google APIs,,16,4,Android + Google APIs,false,127341982,ee6acf1b01020bfa8a8e24725dbc4478bee5e792,https://dl.google.com/android/repository/google_apis-16_r04.zip,127341982,ee6acf1b01020bfa8a8e24725dbc4478bee5e792,https://dl.google.com/android/repository/google_apis-16_r04.zip,127341982,ee6acf1b01020bfa8a8e24725dbc4478bee5e792,https://dl.google.com/android/repository/google_apis-16_r04.zip
Google APIs,,17,4,Android + Google APIs,false,137231243,a076be0677f38df8ca5536b44dfb411a0c808c4f,https://dl.google.com/android/repository/google_apis-17_r04.zip,137231243,a076be0677f38df8ca5536b44dfb411a0c808c4f,https://dl.google.com/android/repository/google_apis-17_r04.zip,137231243,a076be0677f38df8ca5536b44dfb411a0c808c4f,https://dl.google.com/android/repository/google_apis-17_r04.zip
Google APIs,,18,4,Android + Google APIs,false,143195183,6109603409debdd40854d4d4a92eaf8481462c8b,https://dl.google.com/android/repository/google_apis-18_r04.zip,143195183,6109603409debdd40854d4d4a92eaf8481462c8b,https://dl.google.com/android/repository/google_apis-18_r04.zip,143195183,6109603409debdd40854d4d4a92eaf8481462c8b,https://dl.google.com/android/repository/google_apis-18_r04.zip
Google APIs,,19,20,Android + Google APIs,false,147081,5b933abe830b2f25b4c0f171d45e9e0651e56311,https://dl.google.com/android/repository/google_apis-19_r20.zip,147081,5b933abe830b2f25b4c0f171d45e9e0651e56311,https://dl.google.com/android/repository/google_apis-19_r20.zip,147081,5b933abe830b2f25b4c0f171d45e9e0651e56311,https://dl.google.com/android/repository/google_apis-19_r20.zip
Google APIs,,24,1,Android + Google APIs,false,154865,31361c2868f27343ee917fbd259c1463821b6145,https://dl.google.com/android/repository/google_apis-24_r1.zip,154865,31361c2868f27343ee917fbd259c1463821b6145,https://dl.google.com/android/repository/google_apis-24_r1.zip,154865,31361c2868f27343ee917fbd259c1463821b6145,https://dl.google.com/android/repository/google_apis-24_r1.zip
Google APIs,,23,1,Android + Google APIs,false,154871,550e83eea9513ab11c44919ac6da54b36084a9f3,https://dl.google.com/android/repository/google_apis-25_r1.zip,154871,550e83eea9513ab11c44919ac6da54b36084a9f3,https://dl.google.com/android/repository/google_apis-25_r1.zip,154871,550e83eea9513ab11c44919ac6da54b36084a9f3,https://dl.google.com/android/repository/google_apis-25_r1.zip
Google APIs,,21,1,Android + Google APIs,false,179499,66a754efb24e9bb07cc51648426443c7586c9d4a,https://dl.google.com/android/repository/google_apis-21_r01.zip,179499,66a754efb24e9bb07cc51648426443c7586c9d4a,https://dl.google.com/android/repository/google_apis-21_r01.zip,179499,66a754efb24e9bb07cc51648426443c7586c9d4a,https://dl.google.com/android/repository/google_apis-21_r01.zip
Google APIs,,22,1,Android + Google APIs,false,179259,5def0f42160cba8acff51b9c0c7e8be313de84f5,https://dl.google.com/android/repository/google_apis-22_r01.zip,179259,5def0f42160cba8acff51b9c0c7e8be313de84f5,https://dl.google.com/android/repository/google_apis-22_r01.zip,179259,5def0f42160cba8acff51b9c0c7e8be313de84f5,https://dl.google.com/android/repository/google_apis-22_r01.zip
Google APIs,,23,1,Android + Google APIs,false,179900,04c5cc1a7c88967250ebba9561d81e24104167db,https://dl.google.com/android/repository/google_apis-23_r01.zip,179900,04c5cc1a7c88967250ebba9561d81e24104167db,https://dl.google.com/android/repository/google_apis-23_r01.zip,179900,04c5cc1a7c88967250ebba9561d81e24104167db,https://dl.google.com/android/repository/google_apis-23_r01.zip
Google TV Addon,,12,2,"Google TV Addon, API 12, revision 2",true,78266751,92128a12e7e8b0fb5bac59153d7779b717e7b840,https://dl.google.com/android/repository/google_tv-12_r02.zip,78266751,92128a12e7e8b0fb5bac59153d7779b717e7b840,https://dl.google.com/android/repository/google_tv-12_r02.zip,78266751,92128a12e7e8b0fb5bac59153d7779b717e7b840,https://dl.google.com/android/repository/google_tv-12_r02.zip
Google TV Addon,,13,1,"Google TV Addon, API 13, revision 1",true,87721879,b73f7c66011ac8180b44aa4e83b8d78c66ea9a09,https://dl.google.com/android/repository/google_tv-13_r01.zip,87721879,b73f7c66011ac8180b44aa4e83b8d78c66ea9a09,https://dl.google.com/android/repository/google_tv-13_r01.zip,87721879,b73f7c66011ac8180b44aa4e83b8d78c66ea9a09,https://dl.google.com/android/repository/google_tv-13_r01.zip
Android Support Repository,,,47,Local Maven repository for Support Libraries,false,355529608,a0d22beacc106a6977321f2b07d692ce4979e96a,https://dl.google.com/android/repository/android_m2repository_r47.zip,355529608,a0d22beacc106a6977321f2b07d692ce4979e96a,https://dl.google.com/android/repository/android_m2repository_r47.zip,355529608,a0d22beacc106a6977321f2b07d692ce4979e96a,https://dl.google.com/android/repository/android_m2repository_r47.zip
Google Repository,,,57,Local Maven repository for Support Libraries,false,214565802,4bc48d6d4d39944cf2b061e3f618cd9d447c75bb,https://dl.google.com/android/repository/google_m2repository_gms_v11_3_rc05_wear_2_0_4.zip,214565802,4bc48d6d4d39944cf2b061e3f618cd9d447c75bb,https://dl.google.com/android/repository/google_m2repository_gms_v11_3_rc05_wear_2_0_4.zip,214565802,4bc48d6d4d39944cf2b061e3f618cd9d447c75bb,https://dl.google.com/android/repository/google_m2repository_gms_v11_3_rc05_wear_2_0_4.zip
Google Play Licensing Library,,,1,Android Market Licensing client library,false,75109,355e8dc304a92a5616db235af8ee7bd554356254,https://dl.google.com/android/repository/market_licensing-r02.zip,75109,355e8dc304a92a5616db235af8ee7bd554356254,https://dl.google.com/android/repository/market_licensing-r02.zip,75109,355e8dc304a92a5616db235af8ee7bd554356254,https://dl.google.com/android/repository/market_licensing-r02.zip
Google Play APK Expansion library,,,1,Android Market APK Expansion library,false,110201,5305399dc1a56814e86b8459ce24871916f78b8c,https://dl.google.com/android/repository/market_apk_expansion-r03.zip,110201,5305399dc1a56814e86b8459ce24871916f78b8c,https://dl.google.com/android/repository/market_apk_expansion-r03.zip,110201,5305399dc1a56814e86b8459ce24871916f78b8c,https://dl.google.com/android/repository/market_apk_expansion-r03.zip
Google Play services for Froyo,,,12,Google Play services client library and sample code,true,5265389,92558dbc380bba3d55d0ec181167fb05ce7c79d9,https://dl.google.com/android/repository/google_play_services_3265130_r12.zip,5265389,92558dbc380bba3d55d0ec181167fb05ce7c79d9,https://dl.google.com/android/repository/google_play_services_3265130_r12.zip,5265389,92558dbc380bba3d55d0ec181167fb05ce7c79d9,https://dl.google.com/android/repository/google_play_services_3265130_r12.zip
Google Play services,,,43,Google Play services Javadocs and sample code,false,21391284,6b072d5b96fb8726405d363ccdbb4d26bec0b54f,https://dl.google.com/android/repository/google_play_services_v11_3_rc05.zip,21391284,6b072d5b96fb8726405d363ccdbb4d26bec0b54f,https://dl.google.com/android/repository/google_play_services_v11_3_rc05.zip,21391284,6b072d5b96fb8726405d363ccdbb4d26bec0b54f,https://dl.google.com/android/repository/google_play_services_v11_3_rc05.zip
Google USB Driver,,,11,"USB Driver for Windows, revision 11",false,8682859,dc8a2ed2fbd7246d4caf9ab10ffe7749dc35d1cc,https://dl.google.com/android/repository/usb_driver_r11-windows.zip,,,,,,
Google Play Billing Library,,,5,Google Play Billing files and sample code,false,436654,bd2ac5ce7127070ac3229003eb69cfb806628ac9,https://dl.google.com/android/repository/play_billing_r05.zip,436654,bd2ac5ce7127070ac3229003eb69cfb806628ac9,https://dl.google.com/android/repository/play_billing_r05.zip,436654,bd2ac5ce7127070ac3229003eb69cfb806628ac9,https://dl.google.com/android/repository/play_billing_r05.zip
Google AdMob Ads SDK,,,11,AdMob Ads SDK,true,704512,0102859d9575baa0bf4fd5eb422af2ad0fe6cb82,https://dl.google.com/android/repository/GoogleAdMobAdsSdkAndroid-6.4.1.zip,704512,0102859d9575baa0bf4fd5eb422af2ad0fe6cb82,https://dl.google.com/android/repository/GoogleAdMobAdsSdkAndroid-6.4.1.zip,704512,0102859d9575baa0bf4fd5eb422af2ad0fe6cb82,https://dl.google.com/android/repository/GoogleAdMobAdsSdkAndroid-6.4.1.zip
Google Analytics App Tracking SDK,,,3,Analytics App Tracking SDK,true,211432,dc14026bf0ce78315cb5dd00552607de0894de83,https://dl.google.com/android/repository/GoogleAnalyticsAndroid_2.0beta5.zip,211432,dc14026bf0ce78315cb5dd00552607de0894de83,https://dl.google.com/android/repository/GoogleAnalyticsAndroid_2.0beta5.zip,211432,dc14026bf0ce78315cb5dd00552607de0894de83,https://dl.google.com/android/repository/GoogleAnalyticsAndroid_2.0beta5.zip
Google Web Driver,,,2,"Google Web Driver, revision 2",false,4055193,13f3a3b2670a5fc04a7342861644be9a01b07e38,https://dl.google.com/android/repository/webdriver_r02.zip,4055193,13f3a3b2670a5fc04a7342861644be9a01b07e38,https://dl.google.com/android/repository/webdriver_r02.zip,4055193,13f3a3b2670a5fc04a7342861644be9a01b07e38,https://dl.google.com/android/repository/webdriver_r02.zip
